Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-12-29/02:05:00	2015-12-29/02:15:00	224.159	-3.683	-1.382	-1.382
2015-12-29/19:15:00	2015-12-29/19:25:00	136.932	-1.037	3.182	-3.41
2016-01-06/07:45:00	2016-01-06/07:55:00	150.98	-4.648	1.918	-3.343
2016-01-06/09:15:00	2016-01-06/09:25:00	170.071	-4.452	0.92	-5.205
2016-01-06/20:20:00	2016-01-06/20:30:00	155.283	-3.533	1.762	-3.83
2016-01-08/08:00:00	2016-01-08/08:10:00	224.502	-3.218	-2.095	-2.103
2016-01-10/20:00:00	2016-01-10/20:10:00	142.322	-0.395	2.407	-3.145
2016-01-10/20:30:00	2016-01-10/20:40:00	164.846	-2.368	1.02	-3.705
2016-01-14/03:05:00	2016-01-14/03:15:00	211.751	3.435	-2.052	-3.082
2016-01-15/01:20:00	2016-01-15/01:30:00	199.47	1.41	-1.26	-3.492
2016-01-15/22:25:00	2016-01-15/22:35:00	216.068	1.448	-1.668	-2.388
2016-01-17/16:45:00	2016-01-17/16:55:00	136.724	-2.09	2.767	-2.938
2016-01-17/18:25:00	2016-01-17/18:35:00	164.288	-2.193	0.863	-2.997
2016-01-19/03:05:00	2016-01-19/03:15:00	218.754	2.49	-4.297	-5.252
2016-01-21/23:30:00	2016-01-21/23:40:00	184.186	1.655	-0.42	-5.592
2016-01-23/04:40:00	2016-01-23/04:50:00	223.918	-2.552	-3.273	-3.367
2016-01-23/17:50:00	2016-01-23/18:00:00	224.461	2.387	-2.155	-2.2
2016-01-23/23:40:00	2016-01-23/23:50:00	197.85	2.957	-0.77	-2.383
2016-01-28/07:20:00	2016-01-28/07:30:00	150.118	3.695	3.242	-5.602
2016-01-30/05:25:00	2016-01-30/05:35:00	146.493	-1.943	1.48	-2.232
2016-01-31/08:00:00	2016-01-31/08:10:00	154.708	1.838	2.618	-5.543
2016-01-31/08:30:00	2016-01-31/08:40:00	140.032	2.052	3.553	-4.27
2016-02-01/01:10:00	2016-02-01/01:20:00	139.833	1.557	5.462	-6.465
2016-02-01/01:40:00	2016-02-01/01:50:00	140.555	2.49	5.027	-6.148
2016-02-05/15:30:00	2016-02-05/15:40:00	160.158	-3.872	1.015	-2.762
2016-02-07/20:50:00	2016-02-07/21:00:00	159.04	0.097	1.697	-4.427
2016-02-07/21:20:00	2016-02-07/21:30:00	166.236	0.758	1.098	-4.442
2016-02-07/21:50:00	2016-02-07/22:00:00	162.087	0.862	1.442	-4.49
