Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-01-26/06:45:00	2016-01-26/06:55:00	28.49	3.333	1.3	2.423
2016-01-26/07:35:00	2016-01-26/07:45:00	21.23	3.54	1.048	2.677
2016-01-26/08:05:00	2016-01-26/08:15:00	39.371	3.427	1.915	2.315
2016-01-26/08:35:00	2016-01-26/08:45:00	43.107	3.003	2.487	2.658
2016-01-26/15:45:00	2016-01-26/15:55:00	34.922	4.418	1.347	1.933
2016-02-04/02:30:00	2016-02-04/02:40:00	30.105	-3.137	3.262	5.618
2016-02-04/03:00:00	2016-02-04/03:10:00	24.93	-2.243	2.568	5.535
2016-02-04/05:15:00	2016-02-04/05:25:00	26.008	0.798	2.787	5.698
2016-02-04/05:55:00	2016-02-04/06:05:00	20.859	1.742	1.582	3.698
2016-02-07/05:00:00	2016-02-07/05:10:00	37.793	0.893	3.168	4.105
2016-02-13/17:40:00	2016-02-13/17:50:00	43.475	-2.697	3.275	3.392
2016-02-15/17:35:00	2016-02-15/17:45:00	30.082	-3.083	2.567	4.243
2016-02-15/18:05:00	2016-02-15/18:15:00	35.835	-3.12	3.085	4.26
2016-02-22/16:15:00	2016-02-22/16:25:00	20.06	-1.137	2.07	5.687
2016-02-26/12:15:00	2016-02-26/12:25:00	26.558	-4.298	1.645	3.287
2016-02-26/12:45:00	2016-02-26/12:55:00	18.698	-4.063	1.205	3.528
2016-02-26/21:30:00	2016-02-26/21:40:00	8.966	-3.56	0.738	4.773
2016-02-28/03:00:00	2016-02-28/03:10:00	23.556	-4.878	1.625	3.653
2016-02-29/03:05:00	2016-02-29/03:15:00	19.979	3.495	0.695	1.912
2016-02-29/04:05:00	2016-02-29/04:15:00	36.913	3.237	1.19	1.582
2016-02-29/04:45:00	2016-02-29/04:55:00	18.741	2.653	0.622	1.882
2016-02-29/16:20:00	2016-02-29/16:30:00	37.153	0.768	2.747	3.625
2016-02-29/17:05:00	2016-02-29/17:15:00	35.269	-2.193	2.78	3.958
2016-02-29/19:40:00	2016-02-29/19:50:00	39.377	-4.372	2.778	3.345
2016-03-01/02:20:00	2016-03-01/02:30:00	10.36	-4.395	0.68	4.355
2016-03-02/15:45:00	2016-03-02/15:55:00	16.837	-5.667	1.185	3.903
2016-03-02/17:40:00	2016-03-02/17:50:00	35.073	-2.402	3.885	5.552
2016-03-02/20:40:00	2016-03-02/20:50:00	43.583	-2.392	4.547	4.783
2016-03-02/21:30:00	2016-03-02/21:40:00	23.138	-3.232	2.252	5.25
2016-03-02/22:00:00	2016-03-02/22:10:00	30.006	-4.865	2.157	3.775
2016-03-03/16:20:00	2016-03-03/16:30:00	44.346	-1.022	3.27	3.342
2016-03-03/16:55:00	2016-03-03/17:05:00	24.565	-1.025	1.677	3.76
2016-03-04/03:50:00	2016-03-04/04:00:00	23.43	-2.87	1.277	3.08
2016-03-04/04:25:00	2016-03-04/04:35:00	41.609	-3.252	1.998	2.258
2016-03-04/18:50:00	2016-03-04/19:00:00	22.453	1.165	1.727	4.177
2016-03-04/19:20:00	2016-03-04/19:30:00	21.746	1.592	1.645	4.103
2016-03-04/19:50:00	2016-03-04/20:00:00	23.333	0.788	1.817	4.22
2016-03-04/20:20:00	2016-03-04/20:30:00	21.365	0.71	1.725	4.408
2016-03-04/21:40:00	2016-03-04/21:50:00	22.936	0.208	1.683	3.943
2016-03-05/01:10:00	2016-03-05/01:20:00	34.98	-1.753	2.177	2.947
2016-03-05/01:40:00	2016-03-05/01:50:00	39.653	0.573	3.192	3.852
2016-03-05/02:10:00	2016-03-05/02:20:00	39.357	0.298	3.135	3.825
2016-03-05/02:40:00	2016-03-05/02:50:00	40.219	0.482	3.095	3.645
2016-03-05/03:50:00	2016-03-05/04:00:00	34.462	0.19	2.438	3.587
2016-03-05/18:40:00	2016-03-05/18:50:00	39.566	-2.518	2.493	3.055
2016-03-05/21:15:00	2016-03-05/21:25:00	17.119	-3.023	1.252	4.173
2016-03-05/22:00:00	2016-03-05/22:10:00	22.687	-1.908	1.913	4.642
2016-03-05/23:20:00	2016-03-05/23:30:00	8.07	-1.787	0.725	5.185
2016-03-11/21:15:00	2016-03-11/21:25:00	23.67	-0.155	2.273	5.362
2016-03-12/13:00:00	2016-03-12/13:10:00	8.326	-5.64	0.45	3.09
2016-03-12/13:45:00	2016-03-12/13:55:00	11.342	-5.818	0.483	2.452
2016-03-12/23:20:00	2016-03-12/23:30:00	35.541	-3.998	1.525	2.103
2016-03-12/23:50:00	2016-03-13/00:00:00	20.431	-4.397	0.672	1.792
2016-03-13/00:20:00	2016-03-13/00:30:00	26.537	-4.033	1.122	2.235
2016-03-13/01:55:00	2016-03-13/02:05:00	33.394	-2.933	2.172	3.282
2016-03-13/10:25:00	2016-03-13/10:35:00	39.232	-3.508	2.817	3.43
2016-03-13/10:55:00	2016-03-13/11:05:00	34.188	-4.225	2.282	3.348
2016-03-13/21:25:00	2016-03-13/21:35:00	13.341	-3.885	0.438	2.047
2016-03-17/17:45:00	2016-03-17/17:55:00	37.387	4.995	0.912	1.202
2016-03-21/17:10:00	2016-03-21/17:20:00	32.445	-3.688	2.215	3.597
2016-03-22/14:15:00	2016-03-22/14:25:00	17.225	-3.188	1.582	4.978
2016-03-22/15:15:00	2016-03-22/15:25:00	34.358	-1.215	2.998	4.413
2016-03-22/15:45:00	2016-03-22/15:55:00	28.261	-3.195	2.342	4.292
2016-03-22/18:45:00	2016-03-22/18:55:00	30.354	-3.05	2.512	4.25
2016-03-22/19:15:00	2016-03-22/19:25:00	39.005	-2.652	3.207	3.948
2016-03-22/19:45:00	2016-03-22/19:55:00	42.056	-1.452	3.51	3.882
2016-03-25/23:25:00	2016-03-25/23:35:00	40.467	-3.417	0.95	1.133
2016-03-26/00:55:00	2016-03-26/01:05:00	40.971	-3.402	1.462	1.68
2016-03-26/01:25:00	2016-03-26/01:35:00	32.176	-3.707	1.143	1.78
2016-03-26/09:25:00	2016-03-26/09:35:00	33.132	-2.952	0.647	0.973
2016-03-28/08:20:00	2016-03-28/08:30:00	43.639	-5.215	3.845	4.065
2016-03-28/15:15:00	2016-03-28/15:25:00	22.701	-2.157	2.665	6.345
2016-03-28/16:00:00	2016-03-28/16:10:00	18.459	-3.305	2.065	6.36
2016-03-28/16:30:00	2016-03-28/16:40:00	26.752	-3.532	2.972	5.97
2016-03-29/17:30:00	2016-03-29/17:40:00	33.178	-3.347	1.87	2.822
2016-03-29/18:40:00	2016-03-29/18:50:00	38.534	-4.157	1.917	2.49
2016-04-08/10:55:00	2016-04-08/11:05:00	14.201	1.5	1.693	6.628
2016-04-08/15:15:00	2016-04-08/15:25:00	14.927	1.347	1.528	5.755
2016-04-08/20:35:00	2016-04-08/20:45:00	27.787	0.005	2.143	4.077
2016-04-08/21:05:00	2016-04-08/21:15:00	23.33	0.575	1.853	4.295
2016-04-08/21:35:00	2016-04-08/21:45:00	25.849	1.802	1.762	3.665
2016-04-08/22:05:00	2016-04-08/22:15:00	34.191	0.47	2.372	3.473
2016-04-08/22:45:00	2016-04-08/22:55:00	18.073	0.72	1.27	3.927
2016-04-09/00:15:00	2016-04-09/00:25:00	44.077	0.232	3.437	3.553
2016-04-09/06:55:00	2016-04-09/07:05:00	41.312	-0.617	2.785	3.153
2016-04-09/08:35:00	2016-04-09/08:45:00	24.355	-2.91	1.453	3.172
2016-04-09/11:20:00	2016-04-09/11:30:00	17.539	-1.788	0.975	3.077
2016-04-09/19:40:00	2016-04-09/19:50:00	44.268	-3.058	1.782	1.828
2016-04-09/20:10:00	2016-04-09/20:20:00	39.087	-3.167	1.813	2.238
2016-04-10/19:50:00	2016-04-10/20:00:00	20.186	-1.908	2.22	5.97
2016-04-10/20:20:00	2016-04-10/20:30:00	25.354	-1.777	2.91	6.147
2016-04-11/00:00:00	2016-04-11/00:10:00	14.965	-3.138	1.415	5.13
2016-04-15/14:40:00	2016-04-15/14:50:00	17.798	7.797	1.065	3.322
2016-04-15/17:15:00	2016-04-15/17:25:00	33.128	7.107	2.23	3.455
2016-04-18/06:15:00	2016-04-18/06:25:00	15.373	0.038	2.628	9.482
2016-04-18/06:45:00	2016-04-18/06:55:00	25.539	0.763	4.325	9.057
2016-04-18/17:50:00	2016-04-18/18:00:00	30.564	-5.148	0.57	0.988
2016-04-21/14:40:00	2016-04-21/14:50:00	39.342	-4.962	2.712	3.14
2016-04-21/19:20:00	2016-04-21/19:30:00	30.648	-4.595	2.628	4.457
2016-04-21/19:55:00	2016-04-21/20:05:00	14.178	-5.597	1.06	4.092
2016-04-22/17:20:00	2016-04-22/17:30:00	26.847	-5.628	3.677	7.12
2016-04-22/18:10:00	2016-04-22/18:20:00	29.169	-4.782	4.0	7.172
2016-04-23/05:20:00	2016-04-23/05:30:00	23.127	-2.89	1.523	3.583
2016-04-23/05:50:00	2016-04-23/06:00:00	35.559	-2.33	2.763	3.828
2016-04-23/06:20:00	2016-04-23/06:30:00	27.083	-2.48	2.058	4.007
2016-04-23/14:40:00	2016-04-23/14:50:00	17.515	-1.882	1.705	5.388
2016-04-23/15:40:00	2016-04-23/15:50:00	35.097	-1.855	3.045	4.293
2016-04-23/17:20:00	2016-04-23/17:30:00	16.975	-3.13	2.015	6.427
2016-04-24/06:45:00	2016-04-24/06:55:00	39.963	-5.235	2.167	2.665
2016-04-24/07:15:00	2016-04-24/07:25:00	13.861	-4.035	0.893	3.738
2016-04-24/08:25:00	2016-04-24/08:35:00	33.836	-4.138	2.203	3.238
