Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2018-12-07/07:00:00	2018-12-07/07:10:00	249.702	5.725
2018-12-07/12:55:00	2018-12-07/13:05:00	298.616	5.907
2018-12-07/13:35:00	2018-12-07/13:45:00	296.186	4.887
2018-12-07/14:05:00	2018-12-07/14:15:00	279.423	5.285
2018-12-08/10:25:00	2018-12-08/10:35:00	287.048	0.32
2018-12-08/11:20:00	2018-12-08/11:30:00	271.672	0.678
2018-12-08/17:30:00	2018-12-08/17:40:00	250.47	-1.082
2018-12-08/20:20:00	2018-12-08/20:30:00	309.081	4.058
2018-12-08/23:50:00	2018-12-09/00:00:00	294.666	2.708
2018-12-09/00:50:00	2018-12-09/01:00:00	276.037	1.392
2018-12-12/22:20:00	2018-12-12/22:30:00	281.026	3.493
2018-12-13/01:20:00	2018-12-13/01:30:00	284.329	3.457
2018-12-13/08:15:00	2018-12-13/08:25:00	278.432	0.518
2018-12-13/08:55:00	2018-12-13/09:05:00	281.482	0.972
2018-12-13/10:15:00	2018-12-13/10:25:00	269.983	0.73
2018-12-13/10:45:00	2018-12-13/10:55:00	278.983	1.645
2018-12-13/11:35:00	2018-12-13/11:45:00	256.194	1.22
2018-12-13/12:25:00	2018-12-13/12:35:00	238.278	1.022
2018-12-13/13:40:00	2018-12-13/13:50:00	289.015	-2.728
2018-12-13/14:10:00	2018-12-13/14:20:00	277.364	-1.718
2018-12-13/19:35:00	2018-12-13/19:45:00	279.201	1.862
2018-12-13/20:30:00	2018-12-13/20:40:00	286.014	3.847
2018-12-13/21:00:00	2018-12-13/21:10:00	284.375	4.263
2018-12-13/21:30:00	2018-12-13/21:40:00	287.277	4.527
2018-12-13/22:00:00	2018-12-13/22:10:00	289.107	4.215
2018-12-13/22:30:00	2018-12-13/22:40:00	296.208	4.278
