Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2016-11-27/10:55:00	2016-11-27/11:05:00	93.023	-1.375
2016-11-27/11:25:00	2016-11-27/11:35:00	94.074	-2.633
2016-11-27/12:45:00	2016-11-27/12:55:00	93.499	3.035
2016-11-27/13:15:00	2016-11-27/13:25:00	91.062	1.45
2016-11-27/14:00:00	2016-11-27/14:10:00	93.214	0.165
2016-11-27/14:30:00	2016-11-27/14:40:00	88.433	-1.055
2016-11-27/15:00:00	2016-11-27/15:10:00	91.576	1.553
2016-11-27/15:30:00	2016-11-27/15:40:00	87.258	-1.27
2016-11-27/16:25:00	2016-11-27/16:35:00	71.989	-2.177
2016-11-27/17:15:00	2016-11-27/17:25:00	74.634	1.777
2016-11-27/17:45:00	2016-11-27/17:55:00	93.993	1.003
2016-11-27/18:15:00	2016-11-27/18:25:00	86.23	1.497
2016-11-27/18:45:00	2016-11-27/18:55:00	84.153	1.368
2016-11-27/19:15:00	2016-11-27/19:25:00	94.874	2.0
2016-11-28/04:40:00	2016-11-28/04:50:00	70.909	-1.393
2016-11-28/05:20:00	2016-11-28/05:30:00	64.654	0.913
2016-11-28/05:50:00	2016-11-28/06:00:00	75.871	1.082
2016-11-28/06:20:00	2016-11-28/06:30:00	88.336	-1.113
2016-11-28/07:25:00	2016-11-28/07:35:00	109.919	-2.792
2016-11-28/08:05:00	2016-11-28/08:15:00	98.193	-2.51
2016-11-28/11:00:00	2016-11-28/11:10:00	120.991	-3.857
2016-11-28/11:30:00	2016-11-28/11:40:00	100.989	-4.135
2016-11-28/15:20:00	2016-11-28/15:30:00	104.978	-3.102
2016-11-28/16:35:00	2016-11-28/16:45:00	125.438	-1.715
2016-11-28/19:25:00	2016-11-28/19:35:00	75.664	-4.812
2016-11-29/04:50:00	2016-11-29/05:00:00	114.298	-0.462
2016-11-29/06:00:00	2016-11-29/06:10:00	92.099	-0.852
2016-11-29/06:30:00	2016-11-29/06:40:00	87.36	-0.818
2016-11-29/07:20:00	2016-11-29/07:30:00	107.229	-1.617
2016-11-29/07:50:00	2016-11-29/08:00:00	89.602	-0.943
2016-11-29/08:20:00	2016-11-29/08:30:00	80.302	-0.663
2016-11-29/08:50:00	2016-11-29/09:00:00	77.926	-1.023
2016-11-29/09:20:00	2016-11-29/09:30:00	74.076	-1.537
2016-11-29/10:10:00	2016-11-29/10:20:00	127.906	-1.942
2016-11-29/10:55:00	2016-11-29/11:05:00	106.109	-1.193
2016-11-29/11:30:00	2016-11-29/11:40:00	99.229	0.947
2016-11-29/12:00:00	2016-11-29/12:10:00	99.499	1.577
2016-11-29/12:40:00	2016-11-29/12:50:00	119.552	-0.298
2016-11-29/19:30:00	2016-11-29/19:40:00	68.435	2.018
2016-11-29/20:05:00	2016-11-29/20:15:00	101.525	-0.515
2016-11-29/20:35:00	2016-11-29/20:45:00	115.055	-0.788
2016-11-29/21:10:00	2016-11-29/21:20:00	100.912	0.69
2016-11-30/04:05:00	2016-11-30/04:15:00	72.42	-0.685
2016-11-30/04:35:00	2016-11-30/04:45:00	75.159	-2.002
2016-11-30/05:15:00	2016-11-30/05:25:00	96.881	-2.58
2016-11-30/05:45:00	2016-11-30/05:55:00	95.736	-2.777
2016-11-30/06:15:00	2016-11-30/06:25:00	93.268	-2.805
2016-11-30/06:45:00	2016-11-30/06:55:00	89.975	-1.947
2016-11-30/07:15:00	2016-11-30/07:25:00	96.523	-0.745
2016-11-30/10:45:00	2016-11-30/10:55:00	129.567	-5.07
2016-11-30/16:20:00	2016-11-30/16:30:00	86.1	-0.715
2016-11-30/16:50:00	2016-11-30/17:00:00	77.131	-0.032
2016-11-30/17:45:00	2016-11-30/17:55:00	91.885	-2.567
2016-11-30/18:40:00	2016-11-30/18:50:00	67.839	-0.373
2016-11-30/19:10:00	2016-11-30/19:20:00	88.546	-2.235
2016-11-30/19:45:00	2016-11-30/19:55:00	81.862	-1.432
2016-11-30/20:15:00	2016-11-30/20:25:00	70.597	-0.037
2016-11-30/20:45:00	2016-11-30/20:55:00	56.366	-0.38
2016-12-01/03:35:00	2016-12-01/03:45:00	85.448	0.838
2016-12-01/04:05:00	2016-12-01/04:15:00	92.466	0.913
2016-12-01/04:35:00	2016-12-01/04:45:00	102.858	0.693
2016-12-01/05:05:00	2016-12-01/05:15:00	115.351	-0.087
2016-12-01/05:40:00	2016-12-01/05:50:00	75.7	2.323
