Start_str	End_str	Clang_avg	Bx_avg(nT)
2015-11-23 08:20:00	2015-11-23 08:30:00	57.777	2.917
2015-11-23 08:50:00	2015-11-23 09:00:00	53.406	2.893
2015-11-23 09:20:00	2015-11-23 09:30:00	50.964	3.137
2015-11-26 10:20:00	2015-11-26 10:30:00	64.246	-1.89
2015-11-26 12:00:00	2015-11-26 12:10:00	89.924	-0.733
2015-11-29 23:10:00	2015-11-29 23:20:00	112.432	-7.735
2015-11-30 23:00:00	2015-11-30 23:10:00	83.057	3.28
2015-12-01 03:55:00	2015-12-01 04:05:00	77.428	2.217
2015-12-01 10:40:00	2015-12-01 10:50:00	126.775	-2.523
2015-12-01 11:10:00	2015-12-01 11:20:00	125.016	-2.163
2015-12-01 12:10:00	2015-12-01 12:20:00	129.919	-1.18
2015-12-01 15:05:00	2015-12-01 15:15:00	115.166	0.857
2015-12-02 03:20:00	2015-12-02 03:30:00	114.073	-4.677
2015-12-02 05:05:00	2015-12-02 05:15:00	92.392	-4.007
2015-12-02 06:25:00	2015-12-02 06:35:00	116.046	-4.147
2015-12-02 06:55:00	2015-12-02 07:05:00	116.383	-3.747
2015-12-03 00:45:00	2015-12-03 00:55:00	98.206	-4.283
2015-12-03 03:25:00	2015-12-03 03:35:00	117.54	-3.087
2015-12-03 03:55:00	2015-12-03 04:05:00	111.996	-3.96
2015-12-03 04:25:00	2015-12-03 04:35:00	130.025	-3.235
2015-12-03 05:35:00	2015-12-03 05:45:00	132.469	-3.93
2015-12-04 01:35:00	2015-12-04 01:45:00	113.293	-3.587
2015-12-04 02:55:00	2015-12-04 03:05:00	118.767	-3.783
2015-12-05 21:35:00	2015-12-05 21:45:00	95.459	-3.808
2015-12-05 22:05:00	2015-12-05 22:15:00	87.728	-3.73
2015-12-06 00:15:00	2015-12-06 00:25:00	89.112	-6.183
2015-12-06 02:05:00	2015-12-06 02:15:00	78.04	-4.868
2015-12-06 02:35:00	2015-12-06 02:45:00	90.545	-4.16
2015-12-07 04:20:00	2015-12-07 04:30:00	83.552	-7.518
2015-12-07 07:00:00	2015-12-07 07:10:00	78.416	-6.532
2015-12-07 13:50:00	2015-12-07 14:00:00	130.491	-2.613
2015-12-07 14:40:00	2015-12-07 14:50:00	67.3	-4.182
2015-12-07 22:35:00	2015-12-07 22:45:00	115.061	-4.738
2015-12-07 23:05:00	2015-12-07 23:15:00	118.226	-4.613
2015-12-07 23:35:00	2015-12-07 23:45:00	134.259	-1.475
2015-12-08 03:10:00	2015-12-08 03:20:00	70.101	-4.223
2015-12-08 12:05:00	2015-12-08 12:15:00	102.673	-4.67
