Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2020-01-15/05:45:00	2020-01-15/05:55:00	92.677	-1.68
2020-01-15/06:15:00	2020-01-15/06:25:00	112.765	-1.045
2020-01-17/04:45:00	2020-01-17/04:55:00	60.563	-0.307
2020-01-17/05:35:00	2020-01-17/05:45:00	71.805	-0.135
2020-01-17/06:05:00	2020-01-17/06:15:00	59.542	-0.622
2020-01-17/06:35:00	2020-01-17/06:45:00	72.313	0.087
2020-01-17/07:05:00	2020-01-17/07:15:00	71.448	0.682
2020-01-17/07:35:00	2020-01-17/07:45:00	70.107	0.767
2020-01-17/16:30:00	2020-01-17/16:40:00	96.14	1.697
2020-01-17/17:00:00	2020-01-17/17:10:00	82.445	1.92
2020-01-17/17:30:00	2020-01-17/17:40:00	74.548	1.832
2020-01-17/20:30:00	2020-01-17/20:40:00	118.668	1.017
2020-01-18/08:45:00	2020-01-18/08:55:00	89.692	-0.168
2020-01-18/09:30:00	2020-01-18/09:40:00	90.429	0.697
2020-01-18/14:15:00	2020-01-18/14:25:00	125.897	-0.735
2020-01-18/14:45:00	2020-01-18/14:55:00	106.083	-1.008
2020-01-24/19:10:00	2020-01-24/19:20:00	50.826	-3.065
2020-01-24/20:50:00	2020-01-24/21:00:00	75.167	-3.495
2020-01-24/21:20:00	2020-01-24/21:30:00	49.424	-3.423
2020-01-25/12:00:00	2020-01-25/12:10:00	54.723	-3.278
2020-01-25/18:55:00	2020-01-25/19:05:00	48.101	-0.232
2020-01-31/16:10:00	2020-01-31/16:20:00	91.994	2.578
2020-01-31/16:40:00	2020-01-31/16:50:00	108.538	3.013
2020-01-31/17:55:00	2020-01-31/18:05:00	114.63	4.228
2020-01-31/20:10:00	2020-01-31/20:20:00	67.896	1.97
2020-01-31/21:00:00	2020-01-31/21:10:00	65.16	0.442
2020-02-10/21:10:00	2020-02-10/21:20:00	58.314	-4.54
2020-02-10/22:55:00	2020-02-10/23:05:00	128.063	-3.615
2020-02-10/23:25:00	2020-02-10/23:35:00	109.366	-3.333
2020-02-11/06:55:00	2020-02-11/07:05:00	57.077	-3.422
2020-02-11/07:25:00	2020-02-11/07:35:00	92.538	-3.635
2020-02-11/07:55:00	2020-02-11/08:05:00	87.939	-3.698
2020-02-11/08:55:00	2020-02-11/09:05:00	86.519	-2.68
2020-02-11/09:25:00	2020-02-11/09:35:00	80.513	-3.388
2020-02-11/09:55:00	2020-02-11/10:05:00	82.065	-3.405
2020-02-11/10:25:00	2020-02-11/10:35:00	76.34	-3.673
2020-02-11/10:55:00	2020-02-11/11:05:00	78.819	-3.737
2020-02-11/11:25:00	2020-02-11/11:35:00	72.692	-4.235
2020-02-11/11:55:00	2020-02-11/12:05:00	72.56	-4.242
2020-02-14/18:15:00	2020-02-14/18:25:00	92.413	-2.982
2020-02-14/18:45:00	2020-02-14/18:55:00	67.385	-2.803
2020-02-14/19:15:00	2020-02-14/19:25:00	53.44	-2.675
2020-02-17/23:25:00	2020-02-17/23:35:00	70.235	-1.803
2020-02-26/07:30:00	2020-02-26/07:40:00	79.913	-1.972
2020-02-26/08:00:00	2020-02-26/08:10:00	75.52	-1.967
2020-02-28/10:40:00	2020-02-28/10:50:00	76.738	-1.852
2020-03-07/11:45:00	2020-03-07/11:55:00	124.914	-3.15
2020-03-07/13:55:00	2020-03-07/14:05:00	128.881	-1.323
2020-03-07/15:05:00	2020-03-07/15:15:00	47.497	0.24
2020-03-18/05:50:00	2020-03-18/06:00:00	101.41	1.233
2020-03-18/06:25:00	2020-03-18/06:35:00	92.02	3.677
2020-03-18/08:50:00	2020-03-18/09:00:00	120.13	3.458
2020-04-03/23:55:00	2020-04-04/00:05:00	54.306	-3.187
2020-04-04/15:50:00	2020-04-04/16:00:00	55.652	0.727
2020-04-04/16:25:00	2020-04-04/16:35:00	56.034	1.965
2020-04-05/00:45:00	2020-04-05/00:55:00	124.833	3.388
2020-04-08/04:30:00	2020-04-08/04:40:00	73.186	0.543
2020-04-08/05:20:00	2020-04-08/05:30:00	69.926	-0.37
2020-04-08/06:15:00	2020-04-08/06:25:00	50.293	1.025
2020-04-10/07:45:00	2020-04-10/07:55:00	66.183	-0.042
2020-04-14/19:40:00	2020-04-14/19:50:00	62.526	3.092
2020-04-15/10:40:00	2020-04-15/10:50:00	64.042	2.663
2020-04-15/12:05:00	2020-04-15/12:15:00	122.072	2.785
2020-04-15/12:35:00	2020-04-15/12:45:00	87.996	3.002
2020-04-17/17:15:00	2020-04-17/17:25:00	47.11	2.963
2020-04-22/05:40:00	2020-04-22/05:50:00	50.793	2.388
2020-04-25/10:35:00	2020-04-25/10:45:00	77.103	3.953
2020-04-29/12:55:00	2020-04-29/13:05:00	53.259	-2.367
2020-04-29/13:25:00	2020-04-29/13:35:00	66.942	-2.33
