Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2021-01-09/04:55:00	2021-01-09/05:05:00	254.521	-0.94	-4.632	-1.268
2021-01-09/06:40:00	2021-01-09/06:50:00	269.339	0.422	-4.432	-0.053
2021-01-09/07:40:00	2021-01-09/07:50:00	263.761	1.042	-4.177	-0.455
2021-01-09/08:15:00	2021-01-09/08:25:00	263.82	-0.095	-3.905	-0.422
2021-01-09/13:25:00	2021-01-09/13:35:00	260.708	-0.932	-4.142	-0.678
2021-01-09/13:55:00	2021-01-09/14:05:00	263.541	-0.445	-4.382	-0.497
2021-01-09/14:25:00	2021-01-09/14:35:00	272.097	0.68	-4.257	0.152
2021-01-09/15:00:00	2021-01-09/15:10:00	293.971	1.9	-3.497	1.507
2021-01-09/15:30:00	2021-01-09/15:40:00	309.578	2.37	-2.733	2.257
2021-01-09/17:25:00	2021-01-09/17:35:00	285.743	2.222	-3.05	0.85
2021-01-09/17:55:00	2021-01-09/18:05:00	284.4	2.722	-2.505	0.62
2021-01-09/18:40:00	2021-01-09/18:50:00	258.616	0.668	-3.873	-0.835
2021-01-09/19:10:00	2021-01-09/19:20:00	248.316	1.217	-3.452	-1.37
2021-01-09/22:10:00	2021-01-09/22:20:00	236.843	3.61	-1.678	-1.1
2021-01-09/22:50:00	2021-01-09/23:00:00	226.481	2.775	-1.862	-1.773
2021-01-09/23:20:00	2021-01-09/23:30:00	232.768	2.44	-2.233	-1.69
2021-01-09/23:50:00	2021-01-10/00:00:00	237.439	2.31	-2.372	-1.48
2021-01-12/04:50:00	2021-01-12/05:00:00	230.069	-2.792	-3.797	-3.152
2021-01-12/06:35:00	2021-01-12/06:45:00	273.077	-4.193	-2.97	0.133
2021-01-15/06:05:00	2021-01-15/06:15:00	309.404	0.465	-0.99	0.818
2021-01-15/07:10:00	2021-01-15/07:20:00	303.448	1.735	-1.415	0.935
2021-01-15/07:40:00	2021-01-15/07:50:00	309.704	1.843	-1.278	1.062
2021-01-15/08:30:00	2021-01-15/08:40:00	278.078	1.692	-1.805	0.255
2021-01-15/09:55:00	2021-01-15/10:05:00	307.336	1.67	-1.478	1.118
2021-01-15/10:25:00	2021-01-15/10:35:00	313.587	1.525	-1.317	1.262
2021-01-15/10:55:00	2021-01-15/11:05:00	282.37	1.037	-1.858	0.4
2021-01-15/11:25:00	2021-01-15/11:35:00	274.819	1.157	-1.792	0.145
2021-01-15/11:55:00	2021-01-15/12:05:00	271.438	1.018	-2.023	0.048
2021-01-15/12:25:00	2021-01-15/12:35:00	265.322	0.718	-2.218	-0.183
2021-01-15/13:40:00	2021-01-15/13:50:00	245.063	0.687	-2.35	-1.107
2021-01-15/19:10:00	2021-01-15/19:20:00	261.655	1.702	-2.72	-0.393
2021-01-15/20:00:00	2021-01-15/20:10:00	237.873	1.89	-1.882	-1.182
2021-01-15/20:40:00	2021-01-15/20:50:00	273.977	2.515	-2.98	0.19
2021-01-15/21:10:00	2021-01-15/21:20:00	266.932	2.757	-2.905	-0.163
2021-01-15/21:40:00	2021-01-15/21:50:00	269.049	2.557	-2.88	-0.053
2021-01-15/22:10:00	2021-01-15/22:20:00	280.163	2.412	-2.875	0.523
2021-01-15/22:40:00	2021-01-15/22:50:00	284.133	2.08	-2.867	0.73
2021-01-16/08:05:00	2021-01-16/08:15:00	289.09	0.32	-3.515	1.212
